timestep,scale,cases,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,alpha_bar,noise_std,snr
1,0,15,7.456534322102865,8.662741699796952,1.2062073776940878,6.828871536254883,0.10596869199847182,0.5629793862501781,0.04339171449343363,0.9455439209938049,-0.02087230564405521,0.9969944357872009,0.054823026300990285,331.716232027764
1,1,15,7.82526388168335,8.662741699796952,0.8374778181136027,4.966344833374023,0.1397062249481678,0.5096358239650727,0.06519190967082977,0.895835793018341,-0.0008039996221972009,0.9969944357872009,0.054823026300990285,331.716232027764
1,2,15,8.687137571970622,8.662741699796952,-0.024395872173669512,14.918061447143554,0.13458222448825835,0.4674890557924906,0.13839763402938843,0.8495493213335673,-0.028968836419517176,0.9969944357872009,0.054823026300990285,331.716232027764
1,3,15,8.055796273549397,8.662741699796952,0.6069454262475544,10.818705081939697,0.18089347804586092,0.5495454569657644,0.4689972162246704,0.6428005655606588,0.06409027228752771,0.9969944357872009,0.054823026300990285,331.716232027764
5,0,15,7.532394599914551,8.662741699796952,1.1303470998824017,7.68888079325358,0.0992395940857629,0.5479730109373728,0.05376332551240921,0.9387929161389669,-0.051958214739958444,0.9909166693687439,0.09530650886091728,109.09177586897036
5,1,15,7.856692377726237,8.662741699796952,0.8060493220707152,6.289552370707194,0.13627012794216473,0.5050698280334472,0.06666535610953966,0.8960774302482605,-0.008231247573470076,0.9909166693687439,0.09530650886091728,109.09177586897036
5,2,15,8.725681495666503,8.662741699796952,-0.06293979586955167,14.465830739339193,0.1284529375533263,0.46347395380338036,0.13433528939882913,0.8566610932350158,-0.02699786165418724,0.9909166693687439,0.09530650886091728,109.09177586897036
5,3,15,8.070106824239096,8.662741699796952,0.5926348755578572,10.825096289316813,0.1752130540708701,0.5526096979777019,0.46398123502731325,0.6499932249387105,0.06349505210916201,0.9909166693687439,0.09530650886091728,109.09177586897036
10,0,15,7.614034271240234,8.662741699796952,1.048707428556718,8.060023816426595,0.09226077270383636,0.5356762185692787,0.06893292715152105,0.9258196393648783,-0.08622459322214127,0.9831954836845398,0.1296322348625534,58.5078121397637
10,1,15,7.898402086893717,8.662741699796952,0.7643396129032348,7.066876188913981,0.1330821799735228,0.49969253937403363,0.06908609842260678,0.895487368106842,-0.016087538003921507,0.9831954836845398,0.1296322348625534,58.5078121397637
10,2,15,8.760733731587727,8.662741699796952,-0.09799203179077563,14.239102427164713,0.12233518585562705,0.4600483516852061,0.1295590043067932,0.8649991432825724,-0.024741821196706346,0.9831954836845398,0.1296322348625534,58.5078121397637
10,3,15,8.089475504557292,8.662741699796952,0.5732661952396606,10.677685260772705,0.17464163328210514,0.5486495673656464,0.46176356871922813,0.6537343978881835,0.06380567277471225,0.9831954836845398,0.1296322348625534,58.5078121397637
20,0,15,7.751210085550944,8.662741699796952,0.9115316142460083,8.373718738555908,0.08059604563750326,0.5154989098509153,0.10442389647165934,0.892352028687795,-0.14520052671432496,0.9673463702201843,0.18070315376278212,29.62446676657473
20,1,15,7.976857058207194,8.662741699796952,0.6858846415897583,7.894855690002442,0.12773180678486823,0.4893973837296168,0.07332635124524435,0.8957357605298361,-0.030436992893616358,0.9673463702201843,0.18070315376278212,29.62446676657473
20,2,15,8.801803366343181,8.662741699796952,-0.13906166654622812,13.881958770751954,0.11783916726708413,0.4471615533034007,0.12413687954346339,0.875247057278951,-0.0218831783781449,0.9673463702201843,0.18070315376278212,29.62446676657473
20,3,15,8.096527131398519,8.662741699796952,0.5662145683984333,10.510495281219482,0.16982274129986763,0.5437887609004974,0.4579319735368093,0.6601202805836995,0.06416128476460775,0.9673463702201843,0.18070315376278212,29.62446676657473
40,0,15,7.958799393971761,8.662741699796952,0.7039423058251911,8.585304514567058,0.06340857211810848,0.4888720283905665,0.18287795384724934,0.817131233215332,-0.23888348440329235,0.9340746998786926,0.2567592259711564,14.168683315205648
40,1,15,8.090177122751872,8.662741699796952,0.5725645770450805,8.6924698193868,0.11944860108196735,0.4763467619816462,0.08388011256853739,0.8931728680928548,-0.05705859139561653,0.9340746998786926,0.2567592259711564,14.168683315205648
40,2,15,8.855733807881673,8.662741699796952,-0.19299210808472095,13.325519561767578,0.11430415858825048,0.4355425308148066,0.1183159773548444,0.8874061147371928,-0.018405241519212724,0.9340746998786926,0.2567592259711564,14.168683315205648
40,3,15,8.10970500310262,8.662741699796952,0.5530366966943318,10.258376661936442,0.16366919750968614,0.5416177908579508,0.45616127451260885,0.6658190925916035,0.0659796657661597,0.9340746998786926,0.2567592259711564,14.168683315205648
