scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
0,128,128,4.0,4.0,3,0.0,2.0,6.125564098358154,8.0,1.8744359016418457,6.261580944061279,0.20569081604480743,0.7962910532951355,0.040143340826034546,0.9526358842849731,-0.014617049135267735,-0.07319177687168121,2.04459547996521,0.003128103446215391,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,0.0,1.0,6.523952007293701,8.0,1.4760479927062988,4.563845157623291,0.25127336382865906,0.6530843377113342,0.05826021730899811,0.9089764356613159,0.00350849493406713,0.012438150122761726,3.1280629634857178,0.007912720553576946,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.0,0.5,8.409469604492188,8.0,-0.4094696044921875,17.16632652282715,0.13532109558582306,0.49770641326904297,0.11576414853334427,0.8803231120109558,-0.03420787304639816,-0.2860412299633026,3.085655689239502,0.017487458884716034,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.0,0.25,8.64533519744873,8.0,-0.6453351974487305,9.681673049926758,0.07692307978868484,0.442307710647583,0.40456607937812805,0.7170649766921997,0.05298996344208717,0.6400370001792908,1.886046290397644,0.12436874210834503,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,2.0,0.0,7.822743892669678,8.0,0.17725610733032227,7.159517765045166,0.02042577601969242,0.5069044828414917,0.03867259621620178,0.9630606174468994,-0.02323462814092636,0.38148608803749084,0.03930364549160004,0.002259906381368637,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,1.0,0.0,8.143152236938477,8.0,-0.14315223693847656,5.056962490081787,0.09373202919960022,0.4422081708908081,0.057629477232694626,0.914478063583374,-0.0017181314760819077,1.0731213092803955,0.06474921107292175,0.007483204361051321,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.5,0.0,8.248885154724121,8.0,-0.2488851547241211,9.0181303024292,0.1255924254655838,0.48341232538223267,0.13938872516155243,0.8499372005462646,0.002559992950409651,2.0081188678741455,-0.3197784423828125,0.028121892362833023,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.25,0.0,6.205674648284912,8.0,1.794325351715088,7.999999523162842,0.3195876181125641,0.7216494679450989,0.4830950200557709,0.6377734541893005,0.0762723982334137,3.10809326171875,-0.35876891016960144,0.1878979355096817,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,2.0,2.0,9.99293041229248,11.313708498984761,1.3207780866922807,8.202749252319336,0.005609896499663591,0.125,0.03999397158622742,0.9535192251205444,-0.01867995597422123,0.3928641378879547,1.9568450450897217,0.0030214753933250904,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,1.0,1.0,9.714585304260254,11.313708498984761,1.5991231947245073,5.770415306091309,0.03737780451774597,0.2616446316242218,0.057831890881061554,0.9104346632957458,-0.0006433321977965534,1.1000479459762573,3.1729865074157715,0.007827314548194408,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.5,0.5,10.785264015197754,11.313708498984761,0.5284444837870073,18.777496337890625,0.08056872338056564,0.24644550681114197,0.11573157459497452,0.8824331164360046,-0.041347842663526535,1.1574264764785767,3.1222479343414307,0.017712293192744255,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
