Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
0,0.7449544117647059,0.9220823529411765,0.742204411764706,0.9323426470588235,0.9598514705882354,0.829675,0.6035441176470587,0.8920823529411764,1.236029411764706,3239.75,-1.7200647058823528
012,0.7521779411764706,0.9232058823529412,0.7610705882352942,0.9328441176470588,0.961775,0.8297588235294118,0.6023617647058823,0.8909117647058824,1.385,3629.9117647058824,-1.8226573529411763
013,0.7625897058823529,0.928710294117647,0.7896191176470588,0.9396588235294118,0.9668735294117647,0.846535294117647,0.630410294117647,0.8951617647058824,1.0280882352941176,2694.9411764705883,-1.9459235294117647
023,0.7605661764705882,0.9311352941176471,0.8092735294117647,0.9414750000000001,0.9680029411764707,0.850475,0.6192720588235294,0.8943485294117647,1.1963235294117647,3135.8529411764707,-1.632154411764706
123,0.7526382352941177,0.925075,0.7591102941176471,0.9342338235294118,0.9616382352941177,0.8358382352941176,0.6033411764705883,0.89245,1.3627941176470588,3572.1029411764707,-1.669166176470588
baseline,0.7879558823529412,0.9404779411764705,0.8491911764705882,0.950320588235294,0.9732676470588234,0.8711911764705882,0.6387558823529412,0.8987294117647059,1.1538235294117647,3025.044117647059,-1.6586176470588236
