Method,Phase,NCC_After,NCC_Delta,SSIM_After,SSIM_Delta,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
0,1,0.8667411764705882,0.12337058823529412,0.987964705882353,0.049423529411764706,0.9316,0.9960235294117648,0.982370588235294,0.9797470588235294,0.7845235294117647,0.9665235294117648,0.02,55.23529411764706,-0.1698705882352941
0,2,0.8358411764705882,0.29057647058823527,0.9688176470588235,0.11884117647058824,0.9209764705882353,0.9809235294117646,0.9828352941176471,0.9352352941176472,0.7362058823529412,0.9188764705882352,0.3288235294117647,859.0588235294117,-0.8354588235294118
0,3,0.7612882352941177,0.35361176470588235,0.9291294117647059,0.12309999999999999,0.8028705882352941,0.9391941176470588,0.9664764705882353,0.8440470588235295,0.6460117647058824,0.8986588235294118,1.1588235294117646,3036.705882352941,-1.6644941176470587
0,4,0.6985411764705882,0.33894705882352943,0.9011882352941176,0.10760588235294118,0.5917705882352942,0.9112941176470589,0.9447117647058823,0.7850470588235294,0.5100882352941176,0.8816882352941177,1.5111764705882353,3961.0588235294117,-1.8566647058823529
0,5,0.7309176470588234,0.3472235294117647,0.9145117647058824,0.11471764705882352,0.7508117647058823,0.9243,0.9599058823529412,0.8115117647058824,0.5984058823529412,0.8845705882352941,1.3458823529411763,3526.8823529411766,-1.8055764705882353
0,6,0.7890705882352942,0.34904117647058824,0.9435,0.12818235294117647,0.8233647058823529,0.9545823529411763,0.9683117647058824,0.8780941176470588,0.6596705882352941,0.9034117647058824,0.9282352941176472,2434.3529411764707,-1.5535235294117646
0,7,0.8297411764705883,0.2970647058823529,0.9662882352941177,0.11825294117647059,0.8537235294117648,0.9805058823529412,0.9695235294117647,0.9329941176470588,0.6640823529411765,0.9181882352941176,0.37823529411764706,992.8235294117648,-0.8342529411764705
0,8,0.8681,0.1505235294117647,0.9871411764705883,0.06781764705882354,0.9786999999999999,0.9940588235294118,0.9940705882352942,0.9741235294117646,0.7795470588235294,0.9310764705882353,0.010588235294117647,30.176470588235293,-0.2555411764705882
0,9,0.8790705882352942,0.04860588235294118,0.9935705882352941,0.014229411764705883,0.9761411764705883,0.9984352941176472,0.9918117647058824,0.9904000000000001,0.8423176470588235,0.9624764705882352,0.007647058823529412,21.764705882352942,-0.07957058823529412
012,1,0.8685705882352942,0.12521176470588236,0.9882176470588236,0.049664705882352944,0.9386764705882352,0.9961352941176471,0.9833529411764705,0.9804470588235294,0.7896588235294117,0.9666470588235294,0.018823529411764708,49.94117647058823,-0.17314117647058824
012,2,0.8382999999999999,0.2930294117647059,0.9692411764705883,0.11925294117647058,0.9270941176470588,0.9813999999999998,0.9837117647058823,0.9359764705882353,0.7403882352941177,0.9168058823529411,0.3647058823529412,958.7058823529412,-0.8475941176470588
012,3,0.7686000000000001,0.36094117647058827,0.9305411764705882,0.12451764705882352,0.824129411764706,0.9399000000000001,0.9685529411764705,0.8448529411764706,0.6478235294117647,0.8976882352941177,1.285294117647059,3367.5882352941176,-1.8098411764705882
012,4,0.706435294117647,0.3468588235294118,0.902035294117647,0.10844705882352941,0.608970588235294,0.9115352941176471,0.9465117647058823,0.7838176470588235,0.5025764705882353,0.8809058823529412,1.7,4455.764705882353,-1.9559647058823528
012,5,0.7392705882352941,0.35555882352941176,0.9157411764705883,0.11594117647058824,0.7720705882352941,0.9248352941176471,0.9618882352941176,0.8113411764705882,0.5989352941176471,0.8836352941176471,1.4982352941176469,3926.9411764705883,-1.8923764705882353
012,6,0.7944058823529412,0.3543823529411765,0.9445058823529412,0.12917058823529412,0.8391117647058824,0.9551058823529411,0.9701470588235294,0.8790235294117648,0.6601117647058823,0.9014176470588235,1.0564705882352943,2769.3529411764707,-1.6324470588235294
012,7,0.8321176470588236,0.2994470588235294,0.966770588235294,0.11877058823529411,0.8562294117647058,0.9810941176470588,0.970170588235294,0.9341352941176471,0.6657823529411765,0.9161176470588235,0.41647058823529415,1089.5294117647059,-0.8610941176470588
012,8,0.869564705882353,0.152,0.9873941176470588,0.06805882352941177,0.9815764705882352,0.9942941176470588,0.9943411764705883,0.9750764705882353,0.7790117647058823,0.9309117647058823,0.012941176470588235,36.588235294117645,-0.2884
012,9,0.8800470588235294,0.0496,0.9936705882352941,0.014329411764705882,0.978870588235294,0.9984941176470588,0.9918941176470589,0.9907999999999999,0.8442588235294117,0.9628117647058823,0.005294117647058823,13.294117647058824,-0.07550000000000001
013,1,0.8731117647058824,0.12974117647058825,0.9902470588235294,0.05166470588235294,0.9342294117647059,0.9969588235294118,0.982270588235294,0.9846529411764706,0.7921529411764706,0.9681764705882353,0.027058823529411767,70.47058823529412,-0.20141764705882353
013,2,0.8471882352941177,0.3019176470588235,0.9732294117647058,0.12325294117647058,0.9318941176470589,0.9836176470588235,0.9851000000000001,0.9442764705882354,0.7506470588235293,0.9191058823529412,0.28764705882352937,754.2352941176471,-0.7638588235294117
013,3,0.7800294117647059,0.37233529411764704,0.9359941176470588,0.12997058823529412,0.8546823529411764,0.9459235294117647,0.9750235294117648,0.8599823529411764,0.6684705882352941,0.9017235294117647,0.9552941176470587,2502.5882352941176,-1.8996411764705883
013,4,0.7146941176470588,0.35512352941176467,0.9078411764705882,0.11425882352941176,0.6274647058823529,0.9207,0.9484529411764706,0.805464705882353,0.5370470588235294,0.8851705882352942,1.288235294117647,3377.8823529411766,-2.1378823529411766
013,5,0.7494176470588235,0.36571176470588235,0.9214411764705882,0.12164705882352941,0.8086235294117647,0.9324588235294118,0.9683823529411764,0.8295705882352942,0.630164705882353,0.8877764705882353,1.106470588235294,2899.823529411765,-2.037894117647059
013,6,0.8062176470588236,0.36617647058823527,0.9495647058823531,0.13423529411764706,0.8677058823529411,0.9595529411764706,0.975635294117647,0.8911235294117648,0.6859588235294118,0.9059764705882353,0.7623529411764706,1999.4705882352941,-1.7082764705882354
013,7,0.8418764705882352,0.30918823529411765,0.9711882352941177,0.12317647058823529,0.8686588235294117,0.9835235294117647,0.9718058823529411,0.9431470588235294,0.6836176470588234,0.9188000000000001,0.3235294117647059,849.2352941176471,-0.8271882352941177
013,8,0.8744411764705883,0.15686470588235293,0.9893529411764705,0.07003529411764706,0.9814411764705883,0.9951999999999999,0.9950117647058823,0.9785764705882353,0.7869823529411765,0.9322647058823529,0.012352941176470589,34.294117647058826,-0.27883529411764707
013,9,0.8830823529411764,0.052629411764705876,0.9948058823529412,0.015435294117647061,0.9773470588235293,0.9987588235294117,0.9925411764705883,0.9923,0.848764705882353,0.9634352941176471,0.007647058823529412,19.294117647058822,-0.021511764705882355
023,1,0.8701176470588236,0.1267470588235294,0.9895470588235293,0.0509764705882353,0.947964705882353,0.9967235294117646,0.9848764705882352,0.9827470588235295,0.7961529411764705,0.9665176470588236,0.02588235294117647,68.82352941176471,-0.09235294117647058
023,2,0.8440882352941177,0.2988235294117647,0.9733882352941176,0.12341176470588235,0.9470882352941177,0.9836176470588235,0.9878235294117647,0.9446411764705883,0.7472823529411764,0.9190058823529411,0.30764705882352944,810.2352941176471,-0.8909941176470588
023,3,0.7762470588235294,0.3685705882352941,0.9378058823529412,0.13178823529411765,0.8748411764705882,0.9472999999999999,0.9759823529411764,0.8634235294117647,0.6575411764705883,0.9004705882352941,1.11,2911.705882352941,-1.5892823529411766
023,4,0.7157764705882353,0.3561941176470588,0.9117,0.11812352941176472,0.6423176470588235,0.9239117647058823,0.949335294117647,0.8106823529411765,0.525,0.8852058823529412,1.4994117647058822,3931.0,-1.7396058823529412
023,5,0.7481,0.3644,0.9243823529411764,0.12460588235294118,0.8268294117647059,0.9344352941176471,0.9689176470588234,0.8342588235294117,0.617764705882353,0.8867117647058823,1.3082352941176472,3426.9411764705883,-1.6040647058823527
023,6,0.8021411764705882,0.36211176470588236,0.9506529411764707,0.1353235294117647,0.8931058823529412,0.9602529411764706,0.9777764705882352,0.893535294117647,0.6767823529411765,0.9050058823529411,0.8676470588235294,2273.764705882353,-1.595664705882353
023,7,0.8381176470588235,0.3054294117647059,0.970870588235294,0.12286470588235296,0.8858941176470588,0.9832529411764706,0.9737647058823529,0.9424176470588236,0.6774294117647058,0.9183058823529412,0.3770588235294118,991.4705882352941,-0.9634647058823528
023,8,0.8709470588235294,0.15336470588235296,0.988929411764706,0.06961176470588236,0.9813941176470588,0.9951470588235294,0.9949823529411764,0.9779764705882352,0.7814,0.9307117647058822,0.015294117647058824,37.529411764705884,-0.17396470588235294
023,9,0.8806764705882353,0.05021176470588235,0.9943058823529413,0.014952941176470587,0.9807470588235293,0.9986470588235294,0.9928529411764705,0.9914,0.846935294117647,0.9627294117647058,0.01,25.823529411764707,-0.01904705882352941
123,1,0.8675882352941177,0.12424117647058823,0.9884529411764705,0.04988823529411764,0.9353470588235294,0.9961882352941177,0.9831294117647059,0.9807294117647058,0.7853588235294118,0.9668823529411765,0.019411764705882354,51.294117647058826,-0.07712941176470588
123,2,0.8378705882352941,0.29258823529411765,0.9686176470588235,0.11864117647058825,0.9378764705882352,0.9802411764705883,0.9853999999999999,0.933264705882353,0.7363,0.9191470588235294,0.37823529411764706,991.1176470588235,-0.7991
123,3,0.7686529411764705,0.36097647058823534,0.9323529411764706,0.12631176470588235,0.8227529411764706,0.9414588235294117,0.9687176470588235,0.8508529411764706,0.646535294117647,0.8988705882352941,1.2858823529411765,3368.176470588235,-1.5086058823529411
123,4,0.7074882352941176,0.34791176470588236,0.9042,0.1106235294117647,0.6016529411764706,0.9127588235294117,0.9455117647058823,0.7908588235294117,0.5093470588235294,0.8824882352941177,1.657058823529412,4345.64705882353,-1.959570588235294
123,5,0.7394882352941177,0.3557941176470588,0.917835294117647,0.11804705882352942,0.7664294117647058,0.9263764705882354,0.9614529411764705,0.8185235294117646,0.5976588235294118,0.8850647058823529,1.4852941176470589,3893.6470588235293,-1.6924882352941177
123,6,0.7949235294117647,0.35488823529411767,0.9459117647058823,0.13058823529411767,0.8456058823529411,0.9563411764705883,0.970870588235294,0.8831176470588236,0.6598235294117647,0.9033764705882353,1.0229411764705882,2680.9411764705883,-1.516
123,7,0.8319470588235295,0.299264705882353,0.9659764705882354,0.11795294117647058,0.8701764705882352,0.9796176470588236,0.9717176470588236,0.9306058823529412,0.6645588235294118,0.9182764705882352,0.4341176470588235,1139.5882352941176,-0.7891411764705882
123,8,0.8691588235294118,0.15158823529411763,0.9876235294117647,0.06831176470588235,0.9807941176470588,0.994205882352941,0.9944588235294117,0.9749705882352941,0.7804,0.9314235294117647,0.003529411764705882,10.529411764705882,-0.09075882352941177
123,9,0.8795352941176471,0.0490764705882353,0.993864705882353,0.014494117647058824,0.9774941176470588,0.9985588235294118,0.9921823529411765,0.9911529411764706,0.8434588235294117,0.9628352941176471,0.007058823529411765,21.11764705882353,-0.01413529411764706
baseline,1,0.8775058823529411,0.13412941176470589,0.9917647058823529,0.0532,0.9558,0.9974882352941177,0.985635294117647,0.9872882352941176,0.8087941176470588,0.9676588235294117,0.027058823529411767,73.29411764705883,-0.020341176470588234
baseline,2,0.8581647058823529,0.3128941176470588,0.9778941176470589,0.12791176470588236,0.9646470588235294,0.9867411764705882,0.990435294117647,0.953635294117647,0.7595000000000001,0.9207588235294119,0.3205882352941177,840.4117647058823,-0.8042235294117647
baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.14146470588235294,0.9069470588235293,0.9562235294117647,0.9807058823529412,0.884835294117647,0.6739294117647059,0.9048941176470588,1.055294117647059,2769.823529411765,-1.6165
baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.1277470588235294,0.6972529411764705,0.9335176470588236,0.9550352941176472,0.8324764705882354,0.5471117647058824,0.8898235294117648,1.447058823529412,3792.705882352941,-1.7651882352941175
baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.1345470588235294,0.8675,0.9442529411764705,0.9747823529411765,0.8564705882352941,0.6397117647058823,0.8914352941176471,1.2582352941176471,3298.705882352941,-1.695835294117647
baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.14342352941176473,0.925064705882353,0.9672882352941176,0.9825470588235293,0.9109823529411765,0.6942705882352941,0.9087647058823529,0.8547058823529411,2238.9411764705883,-1.5569470588235295
baseline,7,0.853064705882353,0.32037647058823526,0.9758058823529412,0.12778823529411765,0.9068294117647059,0.9865235294117648,0.9770176470588235,0.9522235294117647,0.6974411764705882,0.9199529411764706,0.39294117647058824,1031.0588235294117,-0.9036470588235295
baseline,8,0.8786294117647059,0.16104117647058822,0.9912235294117647,0.07189411764705882,0.9871823529411765,0.9960411764705883,0.9962000000000001,0.9824764705882354,0.7888294117647059,0.9315823529411764,0.007647058823529412,21.705882352941178,-0.035105882352941174
