Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
0,0.8065901960784313,0.9546790849673202,0.8477732026143792,0.9643686274509803,0.9733352941176471,0.9034666666666666,0.6912058823529412,0.9183856209150327,0.6321568627450981,1657.562091503268,-1.0061058823529412
012,0.8108124183006535,0.9553464052287582,0.8585254901960784,0.9647549019607843,0.974507843137255,0.9039411764705882,0.6920607843137255,0.917437908496732,0.7064705882352942,1851.9673202614379,-1.0595954248366013
013,0.8188954248366013,0.9592960784313725,0.8724496732026145,0.9685215686274509,0.9771359477124183,0.9143437908496732,0.7093117647058823,0.9202699346405229,0.5300653594771242,1389.6993464052287,-1.0973895424836602
023,0.8162457516339869,0.9601758169934641,0.8866869281045753,0.969254248366013,0.9784790849673203,0.915675816993464,0.7029209150326797,0.9194071895424836,0.6134640522875817,1608.5882352941176,-0.9631601307189541
123,0.8107392156862745,0.9560928104575163,0.8597921568627451,0.9650830065359477,0.974826797385621,0.9060084967320262,0.6914934640522876,0.9187071895424836,0.699281045751634,1833.562091503268,-0.9385477124183007
baseline,0.8338418300653595,0.9660222222222222,0.9106222222222222,0.9741261437908497,0.9817856209150326,0.9282522875816994,0.7184104575163398,0.9221124183006536,0.5968627450980393,1565.2549019607843,-0.9176797385620915
