Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
Baseline,0.7879558823529412,0.9404779411764705,0.8491911764705882,0.950320588235294,0.9732676470588234,0.8711911764705882,0.6387558823529412,0.8987294117647059,1.1538235294117647,3025.044117647059,-1.6586176470588236
MotionFiLM,0.7449544117647059,0.9220823529411765,0.742204411764706,0.9323426470588235,0.9598514705882354,0.829675,0.6035441176470587,0.8920823529411764,1.236029411764706,3239.75,-1.7200647058823528
MultiPhase,0.7548426470588235,0.924425,0.798710294117647,0.933460294117647,0.965679411764706,0.8333867647058824,0.6136985294117646,0.8915411764705883,1.5063235294117645,3949.6323529411766,-2.13875
