Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
Baseline,0.8338418300653595,0.9660222222222222,0.9106222222222222,0.9741261437908497,0.9817856209150326,0.9282522875816994,0.7184104575163398,0.9221124183006536,0.5968627450980393,1565.2549019607843,-0.9176797385620915
MotionFiLM,0.8065901960784313,0.9546790849673202,0.8477732026143792,0.9643686274509803,0.9733352941176471,0.9034666666666666,0.6912058823529412,0.9183856209150327,0.6321568627450981,1657.562091503268,-1.0061058823529412
MultiPhase,0.8065901960784313,0.9546790849673202,0.8477732026143792,0.9643686274509803,0.9733352941176471,0.9034666666666666,0.6912058823529412,0.9183856209150327,0.6321568627450981,1657.562091503268,-1.0061058823529412
