Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
Baseline,0.7879558823529412,0.9404779411764705,0.8491911764705882,0.950320588235294,0.9732676470588234,0.8711911764705882,0.6387558823529412,0.8987294117647059,1.1538235294117647,3025.044117647059,-1.6586176470588236
MotionFiLM,0.7810588235294118,0.9338838235294118,0.7965485294117647,0.9328308823529411,0.9686058823529412,0.8510367647058823,0.6177999999999999,0.8905602941176471,0.7695588235294117,2018.25,-1.602385294117647
MultiPhase,0.7878499999999999,0.9412867647058822,0.8298632352941177,0.9495014705882354,0.9710941176470589,0.8699117647058823,0.6383941176470589,0.8945367647058823,0.9222058823529412,2416.6029411764707,-1.348710294117647
