Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
81,block5_slice11_phase01,0.7085,0.8632,0.1547,0.9323,0.9931,0.0608,0.2751,0.9807,0.7056,0.8634,0.9872,0.1238,0.9678,0.9978,0.03,0.889,0.9906,0.1016,0.56,0.8688,0.3087,0.893,0.822,0.768,0.9615,0.9907,0.0292,1.001,0.991,0.981,0.107,0,0.0,MotionFiLM,1
82,block5_slice11_phase02,0.5111,0.8465,0.3354,0.8516,0.9823,0.1307,0.0265,0.9752,0.9487,0.8751,0.9914,0.1163,0.8532,0.9919,0.1387,0.7056,0.9681,0.2625,0.5115,0.7854,0.2739,0.906,0.749,0.647,0.8986,0.9788,0.0802,1.007,0.982,0.958,-1.1445,763,0.29,MotionFiLM,2
83,block5_slice11_phase03,0.3781,0.7649,0.3868,0.8072,0.9364,0.1292,-0.1154,0.8798,0.9952,0.8806,0.9828,0.1022,0.7076,0.9509,0.2432,0.6092,0.8638,0.2546,0.3658,0.6793,0.3135,0.89,0.642,0.514,0.8307,0.9501,0.1194,1.006,0.953,0.905,-1.2185,1880,0.72,MotionFiLM,3
84,block5_slice11_phase04,0.3282,0.6778,0.3496,0.7938,0.9043,0.1106,-0.149,0.4821,0.6311,0.8684,0.9528,0.0844,0.6399,0.917,0.2771,0.5698,0.7978,0.228,0.3458,0.5164,0.1706,0.523,0.393,0.348,0.8073,0.9379,0.1305,1.01,0.943,0.883,-2.7392,2300,0.88,MotionFiLM,4
85,block5_slice11_phase05,0.3546,0.7249,0.3703,0.7995,0.9178,0.1183,-0.141,0.7132,0.8542,0.8772,0.9651,0.0879,0.6736,0.933,0.2594,0.591,0.8261,0.2351,0.3344,0.6192,0.2848,0.829,0.566,0.448,0.8183,0.9416,0.1234,1.004,0.944,0.89,-1.7588,2077,0.79,MotionFiLM,5
86,block5_slice11_phase06,0.414,0.801,0.3871,0.8191,0.9569,0.1377,-0.0994,0.9073,1.0067,0.8767,0.9847,0.108,0.7488,0.9695,0.2206,0.6336,0.9112,0.2776,0.4062,0.7148,0.3086,0.863,0.666,0.556,0.848,0.961,0.113,1.006,0.964,0.925,-1.4323,1651,0.63,MotionFiLM,6
87,block5_slice11_phase07,0.5052,0.8417,0.3364,0.8516,0.9808,0.1293,-0.0143,0.9083,0.9227,0.8603,0.9798,0.1195,0.8515,0.9918,0.1403,0.709,0.9683,0.2593,0.4614,0.7728,0.3114,0.815,0.701,0.63,0.8994,0.9795,0.0801,1.012,0.986,0.96,-0.9317,752,0.29,MotionFiLM,7
88,block5_slice11_phase08,0.6761,0.8628,0.1867,0.9141,0.9934,0.0793,0.5239,0.9948,0.4709,0.9284,0.9977,0.0693,0.9449,0.9972,0.0523,0.8341,0.9889,0.1547,0.7285,0.8859,0.1574,0.95,0.864,0.795,0.9458,0.989,0.0432,0.992,0.985,0.978,-0.0248,7,0.0,MotionFiLM,8
89,block5_slice11_phase09,0.8064,0.8666,0.0603,0.977,0.9955,0.0185,0.7066,0.9938,0.2872,0.9369,0.9946,0.0577,0.9917,0.9987,0.007,0.9655,0.9941,0.0286,0.7672,0.9219,0.1547,0.971,0.909,0.855,0.9823,0.9931,0.0108,0.995,0.991,0.986,0.1946,0,0.0,MotionFiLM,9
90,block5_slice12_phase01,0.6997,0.8511,0.1514,0.9319,0.9929,0.061,0.2507,0.9708,0.7201,0.8478,0.9867,0.1389,0.9668,0.9976,0.0307,0.8859,0.9889,0.103,0.543,0.8782,0.3353,0.891,0.83,0.783,0.9297,0.9516,0.022,0.91,0.909,0.908,0.1223,0,0.0,MotionFiLM,1
91,block5_slice12_phase02,0.512,0.8303,0.3182,0.851,0.979,0.128,0.0644,0.9714,0.9069,0.8693,0.9908,0.1215,0.8406,0.9886,0.148,0.6892,0.9569,0.2677,0.5345,0.8067,0.2722,0.907,0.769,0.676,0.8886,0.9718,0.0832,0.986,0.965,0.945,-1.1822,552,0.21,MotionFiLM,2
92,block5_slice12_phase03,0.3854,0.7499,0.3645,0.8055,0.9307,0.1253,-0.0765,0.8509,0.9274,0.8728,0.9808,0.108,0.68,0.9385,0.2585,0.5805,0.8436,0.2631,0.4064,0.7018,0.2955,0.908,0.669,0.541,0.826,0.9462,0.1202,1.013,0.952,0.898,-1.6932,1874,0.71,MotionFiLM,3
93,block5_slice12_phase04,0.3345,0.6656,0.3311,0.7947,0.9008,0.1061,-0.0688,0.5613,0.6301,0.8663,0.9573,0.0909,0.6133,0.8964,0.2831,0.551,0.7761,0.2251,0.3802,0.5186,0.1384,0.468,0.381,0.35,0.8026,0.9267,0.1241,1.034,0.943,0.863,-2.8749,2468,0.94,MotionFiLM,4
94,block5_slice12_phase05,0.3624,0.7067,0.3443,0.7994,0.9133,0.1139,-0.1055,0.6909,0.7965,0.8693,0.9653,0.096,0.6471,0.9166,0.2695,0.5679,0.8047,0.2368,0.3618,0.621,0.2592,0.697,0.527,0.45,0.8128,0.9355,0.1227,1.007,0.939,0.879,-2.4831,2137,0.82,MotionFiLM,5
95,block5_slice12_phase06,0.418,0.783,0.365,0.8168,0.9514,0.1346,-0.0497,0.8743,0.924,0.8713,0.9821,0.1108,0.7235,0.9617,0.2383,0.6046,0.8939,0.2893,0.4488,0.7293,0.2805,0.839,0.671,0.574,0.8438,0.9577,0.114,1.022,0.968,0.919,-1.5531,1632,0.62,MotionFiLM,6
96,block5_slice12_phase07,0.5006,0.8228,0.3222,0.8502,0.977,0.1268,0.0457,0.847,0.8014,0.8515,0.9761,0.1246,0.838,0.9883,0.1503,0.6903,0.9569,0.2666,0.4665,0.7547,0.2883,0.77,0.668,0.606,0.8888,0.9721,0.0832,0.989,0.967,0.946,-1.0071,541,0.21,MotionFiLM,7
97,block5_slice12_phase08,0.67,0.8504,0.1803,0.9143,0.9927,0.0784,0.5272,0.9946,0.4674,0.9198,0.9976,0.0778,0.944,0.997,0.053,0.8312,0.9863,0.1551,0.7483,0.8851,0.1368,0.954,0.865,0.794,0.921,0.958,0.037,0.92,0.92,0.919,-0.0403,4,0.0,MotionFiLM,8
98,block5_slice12_phase09,0.7957,0.8551,0.0594,0.9769,0.9957,0.0189,0.692,0.9923,0.3003,0.9273,0.9945,0.0672,0.9916,0.9986,0.007,0.9659,0.9939,0.028,0.7641,0.9275,0.1634,0.971,0.914,0.865,0.9812,0.9916,0.0104,0.995,0.989,0.983,0.3836,0,0.0,MotionFiLM,9
99,block5_slice13_phase01,0.6915,0.8402,0.1487,0.929,0.9912,0.0622,0.2312,0.9541,0.7229,0.8252,0.9865,0.1612,0.9642,0.9969,0.0327,0.8744,0.984,0.1096,0.5202,0.8875,0.3673,0.881,0.835,0.798,0.941,0.9769,0.0359,1.036,0.995,0.955,0.146,0,0.0,MotionFiLM,1
100,block5_slice13_phase02,0.5158,0.8196,0.3038,0.8439,0.9741,0.1302,0.1187,0.9591,0.8404,0.857,0.99,0.1331,0.82,0.9839,0.1639,0.6502,0.9405,0.2903,0.5491,0.8178,0.2687,0.891,0.773,0.692,0.7666,0.8332,0.0666,0.841,0.767,0.714,-1.1709,430,0.16,MotionFiLM,2
101,block5_slice13_phase03,0.4008,0.7421,0.3413,0.8021,0.9285,0.1264,-0.0302,0.832,0.8622,0.8562,0.9781,0.1218,0.6572,0.9305,0.2733,0.545,0.8297,0.2847,0.441,0.732,0.291,0.827,0.669,0.577,0.7088,0.8428,0.134,0.928,0.812,0.728,-1.9191,1961,0.75,MotionFiLM,3
102,block5_slice13_phase04,0.3534,0.6679,0.3145,0.7932,0.9004,0.1072,0.0315,0.6397,0.6082,0.858,0.9555,0.0975,0.597,0.8854,0.2884,0.5262,0.7649,0.2387,0.4015,0.5202,0.1187,0.415,0.368,0.352,0.6734,0.8198,0.1464,0.935,0.793,0.695,-2.5187,2794,1.07,MotionFiLM,4
103,block5_slice13_phase05,0.379,0.7023,0.3234,0.7978,0.9133,0.1156,-0.0516,0.7419,0.7935,0.8546,0.9693,0.1147,0.6285,0.9071,0.2786,0.5404,0.7939,0.2535,0.4108,0.6358,0.225,0.598,0.508,0.466,0.6877,0.8276,0.1399,0.916,0.793,0.706,-2.2723,2201,0.84,MotionFiLM,5
104,block5_slice13_phase06,0.4283,0.7725,0.3443,0.8115,0.9466,0.1351,0.0095,0.8372,0.8277,0.858,0.9781,0.1201,0.6974,0.9537,0.2563,0.5628,0.8758,0.3129,0.4794,0.7309,0.2515,0.737,0.635,0.576,0.7181,0.8453,0.1272,0.919,0.811,0.732,-1.1991,1448,0.55,MotionFiLM,6
105,block5_slice13_phase07,0.5,0.8092,0.3093,0.8419,0.9712,0.1294,0.0964,0.7611,0.6647,0.8353,0.97,0.1347,0.8162,0.9835,0.1673,0.6481,0.9398,0.2917,0.4522,0.7167,0.2646,0.682,0.603,0.559,0.7644,0.8307,0.0663,0.837,0.763,0.71,-0.9887,481,0.18,MotionFiLM,7
106,block5_slice13_phase08,0.6675,0.84,0.1726,0.9111,0.99,0.0789,0.549,0.993,0.444,0.9083,0.9973,0.089,0.9392,0.9955,0.0562,0.8158,0.9782,0.1625,0.7488,0.8894,0.1406,0.957,0.87,0.801,0.9158,0.9682,0.0525,1.054,0.994,0.938,0.0253,0,0.0,MotionFiLM,8
107,block5_slice13_phase09,0.7871,0.8467,0.0596,0.9756,0.9957,0.0201,0.667,0.9899,0.3229,0.9103,0.9942,0.0839,0.9915,0.9986,0.0071,0.9641,0.9931,0.0291,0.7521,0.9397,0.1875,0.98,0.93,0.886,0.9701,0.9836,0.0135,0.982,0.975,0.968,0.2688,0,0.0,MotionFiLM,9
108,block5_slice14_phase01,0.7053,0.8419,0.1366,0.927,0.9903,0.0632,0.2157,0.9271,0.7114,0.7978,0.9845,0.1867,0.9597,0.9962,0.0365,0.8536,0.9802,0.1266,0.5026,0.8682,0.3656,0.865,0.81,0.767,0.8292,0.8273,-0.0019,0.705,0.705,0.705,0.0465,0,0.0,MotionFiLM,1
109,block5_slice14_phase02,0.5455,0.8247,0.2792,0.8415,0.975,0.1335,0.1914,0.9452,0.7538,0.8375,0.9899,0.1524,0.8023,0.9807,0.1785,0.6048,0.9352,0.3304,0.557,0.8191,0.2621,0.869,0.765,0.694,0.7775,0.868,0.0905,0.904,0.827,0.767,-0.9504,358,0.14,MotionFiLM,2
110,block5_slice14_phase03,0.4464,0.7495,0.3031,0.8032,0.9332,0.13,0.0396,0.8369,0.7973,0.8357,0.9745,0.1388,0.6471,0.9318,0.2847,0.5057,0.8282,0.3225,0.4703,0.7281,0.2578,0.72,0.626,0.572,0.7898,0.9079,0.1182,1.15,0.976,0.831,-1.2925,1382,0.53,MotionFiLM,3
111,block5_slice14_phase04,0.4072,0.6871,0.2799,0.7933,0.9035,0.1102,0.1548,0.6945,0.5397,0.8484,0.9432,0.0948,0.59,0.8871,0.2971,0.4865,0.7552,0.2688,0.4338,0.4998,0.0659,0.361,0.34,0.333,0.7664,0.8904,0.124,1.157,0.96,0.803,-1.6274,1819,0.69,MotionFiLM,4
112,block5_slice14_phase05,0.4277,0.7208,0.2931,0.7992,0.9175,0.1183,0.0242,0.7751,0.7509,0.8364,0.9651,0.1287,0.6193,0.9073,0.288,0.5028,0.7875,0.2847,0.4445,0.5998,0.1553,0.48,0.444,0.428,0.7751,0.8968,0.1217,1.153,0.966,0.813,-1.5071,1395,0.53,MotionFiLM,5
113,block5_slice14_phase06,0.4697,0.7741,0.3044,0.8122,0.9489,0.1367,0.0892,0.778,0.6887,0.8393,0.967,0.1276,0.6834,0.9533,0.2698,0.5228,0.8738,0.3509,0.4858,0.6987,0.2129,0.617,0.565,0.537,0.7278,0.8502,0.1224,0.905,0.81,0.739,-1.0066,1226,0.47,MotionFiLM,6
114,block5_slice14_phase07,0.5305,0.8122,0.2817,0.8384,0.9712,0.1328,0.1495,0.7223,0.5729,0.8194,0.9602,0.1408,0.7975,0.9801,0.1826,0.5994,0.9333,0.3339,0.4276,0.6762,0.2487,0.61,0.544,0.511,0.7767,0.8693,0.0925,0.907,0.829,0.769,-0.7633,653,0.25,MotionFiLM,7
115,block5_slice14_phase08,0.69,0.8447,0.1547,0.9093,0.9895,0.0802,0.5937,0.9896,0.3959,0.8939,0.9955,0.1016,0.9327,0.9944,0.0618,0.7896,0.9744,0.1849,0.7423,0.8835,0.1412,0.969,0.87,0.791,0.8341,0.8445,0.0104,0.731,0.731,0.731,-0.0118,3,0.0,MotionFiLM,8
116,block5_slice14_phase09,0.7951,0.8515,0.0565,0.9739,0.9955,0.0217,0.6452,0.9869,0.3417,0.8859,0.9935,0.1076,0.991,0.9986,0.0076,0.9582,0.9924,0.0342,0.728,0.9421,0.214,0.995,0.94,0.89,0.9725,0.9864,0.0139,1.012,0.992,0.973,0.2614,0,0.0,MotionFiLM,9
117,block5_slice15_phase01,0.72,0.844,0.1239,0.9294,0.991,0.0615,0.2087,0.8896,0.681,0.7998,0.9772,0.1775,0.9537,0.9958,0.0421,0.8355,0.9806,0.1451,0.476,0.8236,0.3475,0.767,0.728,0.7,0.8822,0.9404,0.0583,1.103,0.989,0.888,-0.4166,111,0.04,MotionFiLM,1
118,block5_slice15_phase02,0.5777,0.8247,0.2469,0.848,0.9759,0.1279,0.2971,0.9175,0.6204,0.8417,0.9858,0.1442,0.7924,0.9792,0.1868,0.5857,0.9328,0.3471,0.5664,0.7908,0.2245,0.774,0.701,0.654,0.5939,0.6521,0.0582,1.905,0.947,0.484,-0.2364,248,0.09,MotionFiLM,2
119,block5_slice15_phase03,0.4915,0.7598,0.2683,0.812,0.935,0.123,0.1759,0.8361,0.6602,0.8459,0.9657,0.1198,0.6381,0.9271,0.289,0.4851,0.8147,0.3295,0.5081,0.6407,0.1326,0.537,0.492,0.471,0.5348,0.5693,0.0345,2.305,0.941,0.398,-0.8177,1219,0.47,MotionFiLM,3
120,block5_slice15_phase04,0.4565,0.7026,0.2461,0.8025,0.907,0.1044,0.2904,0.7294,0.4389,0.8642,0.9278,0.0636,0.5801,0.8815,0.3014,0.4633,0.7448,0.2815,0.4595,0.4549,-0.0046,0.33,0.302,0.294,0.4138,0.4072,-0.0066,1.828,0.576,0.256,-1.0359,1583,0.6,MotionFiLM,4
121,block5_slice15_phase05,0.4738,0.7331,0.2593,0.8082,0.9192,0.1109,0.1623,0.8156,0.6532,0.8446,0.9578,0.1131,0.6076,0.9005,0.2929,0.4803,0.7713,0.291,0.4751,0.5755,0.1004,0.416,0.407,0.404,0.4107,0.4016,-0.0091,1.785,0.559,0.251,-0.9765,1459,0.56,MotionFiLM,5
122,block5_slice15_phase06,0.5126,0.7841,0.2716,0.8211,0.9513,0.1302,0.221,0.782,0.561,0.846,0.9576,0.1116,0.6765,0.9507,0.2742,0.5076,0.8674,0.3599,0.504,0.6508,0.1468,0.536,0.5,0.482,0.5586,0.6136,0.055,1.958,0.908,0.443,-0.6223,1172,0.45,MotionFiLM,6
123,block5_slice15_phase07,0.5613,0.8136,0.2523,0.8443,0.9723,0.128,0.2191,0.7314,0.5123,0.8286,0.9486,0.12,0.7882,0.9787,0.1905,0.5778,0.9303,0.3525,0.4175,0.6252,0.2077,0.548,0.484,0.455,0.5932,0.6493,0.0562,1.918,0.947,0.481,-0.7969,794,0.3,MotionFiLM,7
124,block5_slice15_phase08,0.7083,0.8477,0.1393,0.9128,0.9912,0.0784,0.6534,0.9874,0.334,0.8933,0.9945,0.1011,0.9259,0.9944,0.0685,0.7715,0.9763,0.2048,0.7436,0.8763,0.1327,0.973,0.865,0.78,0.6413,0.6748,0.0335,1.934,0.99,0.509,-0.0003,2,0.0,MotionFiLM,8
125,block5_slice15_phase09,0.8022,0.855,0.0529,0.9741,0.9958,0.0216,0.6425,0.9832,0.3408,0.8784,0.9936,0.1151,0.9896,0.9986,0.009,0.9512,0.992,0.0408,0.7049,0.9452,0.2402,0.974,0.933,0.896,0.9445,0.9705,0.026,1.05,0.995,0.943,0.2149,0,0.0,MotionFiLM,9
126,block5_slice16_phase01,0.7301,0.8462,0.1161,0.9343,0.9912,0.0569,0.2227,0.8659,0.6433,0.8298,0.9697,0.14,0.9481,0.9951,0.0469,0.8268,0.9802,0.1533,0.443,0.7578,0.3149,0.672,0.634,0.61,0.9129,0.9622,0.0493,1.05,0.986,0.927,-0.4717,214,0.08,MotionFiLM,1
127,block5_slice16_phase02,0.6036,0.8298,0.2262,0.8595,0.9744,0.1149,0.4098,0.8839,0.4741,0.8681,0.9731,0.105,0.7859,0.9732,0.1873,0.5927,0.925,0.3323,0.5391,0.714,0.1749,0.642,0.586,0.555,0.7924,0.9052,0.1127,0.908,0.864,0.827,-0.4526,215,0.08,MotionFiLM,2
128,block5_slice16_phase03,0.5261,0.7727,0.2466,0.8263,0.937,0.1107,0.3685,0.8395,0.4709,0.8744,0.956,0.0816,0.627,0.9103,0.2833,0.4923,0.8087,0.3165,0.5084,0.5947,0.0863,0.442,0.429,0.423,0.7104,0.7479,0.0375,0.962,0.734,0.597,-1.4625,1517,0.58,MotionFiLM,3
129,block5_slice16_phase04,0.496,0.7213,0.2253,0.8167,0.9126,0.0959,0.3422,0.6699,0.3277,0.8843,0.9143,0.0299,0.5725,0.8684,0.2959,0.468,0.7447,0.2767,0.4621,0.4475,-0.0145,0.355,0.303,0.288,0.7862,0.8389,0.0527,1.232,0.936,0.722,-1.2536,2014,0.77,MotionFiLM,4
130,block5_slice16_phase05,0.5107,0.7467,0.2361,0.8217,0.9233,0.1016,0.3509,0.8359,0.4849,0.8685,0.9534,0.085,0.5972,0.8848,0.2876,0.4833,0.7686,0.2853,0.5019,0.5694,0.0675,0.407,0.401,0.398,0.7913,0.8386,0.0472,1.238,0.938,0.722,-1.3051,1623,0.62,MotionFiLM,5
131,block5_slice16_phase06,0.546,0.7965,0.2505,0.8347,0.9519,0.1172,0.377,0.8106,0.4336,0.8682,0.9528,0.0846,0.6687,0.9372,0.2685,0.5169,0.8562,0.3393,0.4877,0.6182,0.1305,0.481,0.458,0.447,0.7226,0.7596,0.0369,0.953,0.742,0.612,-1.4538,1417,0.54,MotionFiLM,6
132,block5_slice16_phase07,0.5905,0.8236,0.2331,0.857,0.972,0.115,0.2907,0.7721,0.4814,0.8559,0.9437,0.0879,0.7844,0.9734,0.189,0.5878,0.9238,0.336,0.4463,0.6077,0.1614,0.577,0.479,0.436,0.7924,0.906,0.1135,0.911,0.866,0.828,-0.6143,738,0.28,MotionFiLM,7
133,block5_slice16_phase08,0.7212,0.8521,0.1309,0.9193,0.9913,0.072,0.7097,0.9825,0.2727,0.9098,0.9935,0.0837,0.9202,0.9932,0.0729,0.7681,0.9749,0.2068,0.7462,0.8726,0.1264,0.937,0.845,0.774,0.8855,0.9541,0.0685,1.031,0.969,0.912,-0.018,3,0.0,MotionFiLM,8
134,block5_slice16_phase09,0.8047,0.8561,0.0514,0.9759,0.9954,0.0195,0.6583,0.9781,0.3197,0.8974,0.993,0.0956,0.9874,0.9982,0.0108,0.9451,0.99,0.0449,0.695,0.9225,0.2275,0.894,0.874,0.856,0.9581,0.979,0.0209,1.032,0.995,0.959,0.0918,0,0.0,MotionFiLM,9
135,block5_slice17_phase01,0.7448,0.849,0.1043,0.9442,0.9915,0.0473,0.2749,0.8792,0.6043,0.8733,0.9687,0.0953,0.9471,0.9938,0.0466,0.8414,0.9807,0.1393,0.4824,0.785,0.3026,0.711,0.672,0.646,0.8991,0.9468,0.0477,0.938,0.918,0.899,-0.4442,449,0.17,MotionFiLM,1
136,block5_slice17_phase02,0.6196,0.8353,0.2157,0.8767,0.9748,0.098,0.4603,0.8902,0.4299,0.8907,0.969,0.0784,0.7874,0.9642,0.1768,0.6301,0.923,0.2929,0.5023,0.6704,0.1681,0.596,0.535,0.504,0.7549,0.7836,0.0288,0.921,0.753,0.644,-1.2047,1036,0.4,MotionFiLM,2
137,block5_slice17_phase03,0.5448,0.7814,0.2365,0.8435,0.9431,0.0996,0.4982,0.7655,0.2673,0.8953,0.9456,0.0503,0.632,0.9089,0.2769,0.5242,0.8238,0.2996,0.548,0.5804,0.0324,0.483,0.43,0.409,0.8197,0.8579,0.0383,1.208,0.947,0.751,-1.2025,2162,0.82,MotionFiLM,3
138,block5_slice17_phase04,0.5156,0.7306,0.2149,0.8346,0.9188,0.0842,0.0943,0.2917,0.1974,0.8918,0.9104,0.0185,0.5847,0.874,0.2893,0.499,0.7532,0.2541,0.0143,0.2335,0.2192,0.84,0.215,0.132,0.7435,0.7981,0.0546,0.995,0.796,0.664,-1.461,2856,1.09,MotionFiLM,4
139,block5_slice17_phase05,0.5295,0.7555,0.2261,0.8391,0.9303,0.0913,0.4921,0.7354,0.2434,0.8959,0.9397,0.0437,0.6054,0.8896,0.2841,0.5123,0.7846,0.2723,0.5236,0.5662,0.0426,0.44,0.408,0.395,0.7455,0.7918,0.0463,0.988,0.787,0.655,-1.4127,2452,0.94,MotionFiLM,5
140,block5_slice17_phase06,0.5647,0.8069,0.2422,0.8515,0.9563,0.1048,0.4802,0.7976,0.3175,0.8893,0.9526,0.0634,0.6725,0.929,0.2565,0.5494,0.8636,0.3142,0.5203,0.5906,0.0703,0.513,0.447,0.419,0.8263,0.8623,0.036,1.212,0.954,0.758,-1.1302,2032,0.78,MotionFiLM,6
141,block5_slice17_phase07,0.611,0.8304,0.2194,0.8765,0.9727,0.0962,0.3363,0.7889,0.4526,0.8895,0.9485,0.059,0.7891,0.9645,0.1755,0.6304,0.9203,0.2899,0.4639,0.5872,0.1234,0.592,0.467,0.416,0.755,0.7837,0.0287,0.921,0.753,0.644,-1.292,1292,0.49,MotionFiLM,7
142,block5_slice17_phase08,0.7359,0.853,0.1171,0.93,0.9902,0.0602,0.7147,0.9756,0.2609,0.9325,0.9913,0.0589,0.9186,0.99,0.0714,0.787,0.9719,0.1849,0.736,0.8487,0.1127,0.889,0.802,0.737,0.6485,0.6772,0.0287,0.526,0.517,0.512,0.0344,0,0.0,MotionFiLM,8
143,block5_slice17_phase09,0.8114,0.8587,0.0473,0.9794,0.9948,0.0153,0.6736,0.9672,0.2936,0.9294,0.9896,0.0602,0.9858,0.9972,0.0114,0.9468,0.9875,0.0407,0.6834,0.8954,0.212,0.872,0.838,0.811,0.9364,0.9456,0.0091,0.937,0.916,0.897,-0.0845,19,0.01,MotionFiLM,9
144,block5_slice18_phase01,0.7533,0.8458,0.0925,0.9562,0.9912,0.035,0.4026,0.8782,0.4756,0.9165,0.9702,0.0537,0.9542,0.9932,0.039,0.8718,0.98,0.1082,0.6508,0.6755,0.0247,1.26,0.763,0.51,0.9351,0.9696,0.0345,1.007,0.973,0.941,-0.3362,519,0.2,MotionFiLM,1
145,block5_slice18_phase02,0.6297,0.8336,0.204,0.8954,0.9774,0.0819,0.4781,0.8935,0.4153,0.9122,0.9722,0.0599,0.8044,0.9667,0.1622,0.6812,0.9325,0.2513,0.6076,0.5296,-0.078,0.989,0.527,0.36,0.8382,0.8675,0.0293,1.303,0.999,0.766,-0.8415,1244,0.47,MotionFiLM,2
146,block5_slice18_phase03,0.5549,0.7752,0.2203,0.8607,0.9477,0.0869,0.5644,0.6553,0.0908,0.9155,0.9463,0.0308,0.6499,0.9241,0.2742,0.5656,0.8369,0.2713,0.6123,0.5034,-0.1089,0.854,0.467,0.336,0.8467,0.9368,0.0901,1.081,0.975,0.881,-1.245,2895,1.1,MotionFiLM,3
147,block5_slice18_phase04,0.5204,0.7102,0.1898,0.8506,0.9198,0.0692,-0.1505,-0.0346,0.116,0.9022,0.9119,0.0097,0.6037,0.8827,0.279,0.5332,0.7491,0.2159,0.1473,0.0069,-0.1405,1.964,0.01,0.003,0.8314,0.9318,0.1004,1.053,0.957,0.872,-1.2194,3203,1.22,MotionFiLM,4
148,block5_slice18_phase05,0.5395,0.7454,0.2059,0.8548,0.9328,0.078,0.5485,0.5245,-0.024,0.9153,0.935,0.0197,0.6217,0.9008,0.2791,0.5451,0.7887,0.2436,0.5115,0.3315,-0.18,1.871,0.476,0.199,0.8413,0.9374,0.0961,1.063,0.967,0.882,-1.0594,2964,1.13,MotionFiLM,5
149,block5_slice18_phase06,0.5757,0.8025,0.2268,0.8691,0.9594,0.0903,0.5392,0.7745,0.2354,0.9134,0.9553,0.0419,0.691,0.943,0.2519,0.5932,0.8746,0.2813,0.5887,0.4638,-0.1249,0.935,0.449,0.302,0.8589,0.9441,0.0852,1.082,0.983,0.894,-1.23,2816,1.07,MotionFiLM,6
150,block5_slice18_phase07,0.6229,0.8268,0.2039,0.8956,0.9756,0.08,0.3088,0.7815,0.4726,0.911,0.9518,0.0408,0.8069,0.9669,0.16,0.6816,0.9301,0.2485,0.5287,0.4758,-0.0528,1.05,0.488,0.312,0.8381,0.8671,0.029,1.304,0.999,0.765,-1.9044,1436,0.55,MotionFiLM,7
151,block5_slice18_phase08,0.7378,0.8502,0.1123,0.9418,0.9899,0.0481,0.6388,0.9662,0.3274,0.9443,0.9888,0.0444,0.9255,0.9886,0.0631,0.8207,0.9722,0.1516,0.6886,0.6188,-0.0698,1.295,0.71,0.448,0.9197,0.9628,0.0431,1.01,0.968,0.928,-0.6499,174,0.07,MotionFiLM,8
152,block5_slice18_phase09,0.8093,0.8554,0.0461,0.9836,0.9948,0.0111,0.6932,0.9598,0.2666,0.9495,0.9892,0.0397,0.9869,0.9971,0.0101,0.9562,0.9889,0.0327,0.7344,0.7544,0.02,1.393,0.903,0.606,0.6062,0.5804,-0.0258,0.496,0.434,0.409,-0.1496,106,0.04,MotionFiLM,9
0,block5_slice02_phase01,0.8542,0.9564,0.1022,0.9571,0.9936,0.0365,0.8481,0.9852,0.1371,0.9738,0.9919,0.0181,0.9762,0.999,0.0228,0.9267,0.9937,0.067,0.8871,0.9429,0.0559,0.915,0.903,0.892,0.9554,0.9824,0.027,0.966,0.966,0.965,0.1756,0,0.0,MultiPhase,1
1,block5_slice02_phase02,0.6051,0.9396,0.3346,0.8615,0.9832,0.1217,0.7377,0.9718,0.234,0.9621,0.9936,0.0315,0.8761,0.992,0.1159,0.7844,0.9757,0.1914,0.6107,0.6864,0.0757,0.558,0.535,0.523,0.8871,0.9582,0.071,0.964,0.941,0.92,-0.4084,475,0.18,MultiPhase,2
2,block5_slice02_phase03,0.3903,0.8822,0.4919,0.7983,0.9562,0.158,0.5539,0.9135,0.3596,0.9459,0.9878,0.0419,0.7549,0.9701,0.2152,0.6866,0.9309,0.2442,0.5296,0.6388,0.1092,0.499,0.479,0.469,0.8273,0.9467,0.1194,1.03,0.961,0.899,-1.7895,1381,0.53,MultiPhase,3
3,block5_slice02_phase04,0.305,0.8236,0.5186,0.7776,0.9295,0.1518,0.3212,0.9336,0.6125,0.9091,0.9819,0.0728,0.7125,0.9528,0.2403,0.6585,0.8871,0.2286,0.5505,0.6491,0.0986,0.508,0.489,0.48,0.8062,0.9361,0.1299,1.061,0.965,0.88,-1.4969,1750,0.67,MultiPhase,4
