Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
28,block5_slice05_phase02,0.5077,0.8826,0.3749,0.8346,0.9755,0.1409,0.4876,0.9735,0.4859,0.936,0.9941,0.0581,0.8271,0.9865,0.1595,0.6979,0.9567,0.2588,0.4103,0.7649,0.3546,1.435,0.931,0.619,0.8849,0.9652,0.0802,0.981,0.956,0.933,-0.9609,560,0.21,MotionFiLM,2
29,block5_slice05_phase03,0.339,0.8268,0.4877,0.7882,0.9456,0.1574,0.1014,0.9135,0.8121,0.9176,0.9898,0.0721,0.6969,0.9446,0.2476,0.6218,0.8966,0.2748,0.2787,0.7433,0.4645,1.391,0.889,0.591,0.8259,0.9365,0.1106,1.026,0.949,0.881,-1.5991,1574,0.6,MotionFiLM,3
30,block5_slice05_phase04,0.2859,0.7645,0.4786,0.7763,0.9197,0.1434,-0.0739,0.854,0.9279,0.8846,0.9714,0.0868,0.675,0.923,0.248,0.6075,0.853,0.2455,0.113,0.694,0.5811,1.348,0.815,0.531,0.8106,0.937,0.1265,1.062,0.966,0.882,-1.2908,1898,0.72,MotionFiLM,4
31,block5_slice05_phase05,0.3125,0.7973,0.4848,0.7834,0.9329,0.1495,0.0235,0.9106,0.8871,0.9095,0.9881,0.0786,0.6825,0.9323,0.2499,0.6177,0.8728,0.2551,0.2317,0.7335,0.5019,1.38,0.873,0.579,0.8176,0.9391,0.1215,1.059,0.967,0.885,-1.478,1695,0.65,MotionFiLM,5
32,block5_slice05_phase06,0.3763,0.8503,0.474,0.7949,0.9561,0.1613,0.1871,0.9352,0.7481,0.9167,0.9901,0.0734,0.7252,0.9569,0.2317,0.6305,0.9184,0.2879,0.3012,0.7515,0.4503,1.404,0.903,0.602,0.8416,0.945,0.1034,1.031,0.96,0.896,-1.3863,1186,0.45,MotionFiLM,6
33,block5_slice05_phase07,0.4907,0.8783,0.3876,0.8313,0.973,0.1417,0.3312,0.9498,0.6185,0.9034,0.9819,0.0785,0.8293,0.9861,0.1568,0.6992,0.9557,0.2565,0.2284,0.531,0.3026,2.493,0.927,0.361,0.8867,0.9652,0.0785,0.982,0.956,0.933,-0.9181,495,0.19,MotionFiLM,7
34,block5_slice05_phase08,0.7333,0.9042,0.1709,0.9193,0.9896,0.0703,0.827,0.9899,0.1629,0.9767,0.9981,0.0214,0.9425,0.9973,0.0547,0.8475,0.9843,0.1368,0.426,0.5514,0.1254,2.563,0.982,0.381,0.9369,0.979,0.0422,0.959,0.959,0.959,-0.3027,91,0.03,MotionFiLM,8
35,block5_slice05_phase09,0.854,0.9112,0.0572,0.9823,0.9939,0.0115,0.8934,0.9884,0.095,0.9801,0.9953,0.0152,0.9928,0.9992,0.0063,0.9736,0.994,0.0205,0.4363,0.5248,0.0885,2.602,0.945,0.356,0.9794,0.9924,0.013,0.989,0.987,0.985,0.3055,0,0.0,MotionFiLM,9
36,block5_slice06_phase01,0.7449,0.8991,0.1543,0.9386,0.9896,0.0511,0.5801,0.9762,0.3961,0.9261,0.986,0.0599,0.9657,0.9978,0.0322,0.8976,0.9876,0.0899,0.5246,0.6619,0.1373,1.721,0.901,0.495,0.9577,0.9862,0.0285,0.974,0.973,0.973,0.0038,0,0.0,MotionFiLM,1
37,block5_slice06_phase02,0.5076,0.8808,0.3732,0.8325,0.9778,0.1453,0.3249,0.973,0.6482,0.9243,0.9933,0.069,0.8208,0.9892,0.1684,0.6831,0.9634,0.2803,0.5372,0.8429,0.3057,0.937,0.816,0.728,0.8855,0.9673,0.0818,0.97,0.953,0.937,-0.6578,494,0.19,MotionFiLM,2
38,block5_slice06_phase03,0.338,0.8286,0.4906,0.7868,0.9497,0.1629,-0.0401,0.9375,0.9776,0.909,0.991,0.0819,0.6963,0.9492,0.253,0.611,0.9024,0.2914,0.3152,0.7628,0.4476,0.951,0.744,0.617,0.8276,0.9414,0.1138,1.021,0.951,0.889,-2.2986,1915,0.73,MotionFiLM,3
39,block5_slice06_phase04,0.2917,0.764,0.4723,0.7742,0.9185,0.1442,-0.2054,0.7996,1.005,0.8774,0.9647,0.0873,0.6733,0.924,0.2506,0.5947,0.8471,0.2524,0.2497,0.7196,0.4699,0.932,0.695,0.562,0.8102,0.9344,0.1242,1.029,0.948,0.877,-2.6272,2046,0.78,MotionFiLM,4
40,block5_slice06_phase05,0.3127,0.8001,0.4874,0.781,0.935,0.1539,-0.1122,0.9262,1.0384,0.9006,0.9881,0.0876,0.6819,0.9347,0.2528,0.6054,0.874,0.2685,0.2735,0.7482,0.4746,0.922,0.719,0.598,0.8166,0.9362,0.1197,1.021,0.946,0.88,-2.5107,1978,0.75,MotionFiLM,5
41,block5_slice06_phase06,0.3779,0.8525,0.4746,0.795,0.9613,0.1663,0.0141,0.9475,0.9334,0.907,0.9907,0.0837,0.7238,0.963,0.2392,0.621,0.9267,0.3057,0.3567,0.7865,0.4298,0.948,0.766,0.648,0.8438,0.9502,0.1064,1.027,0.963,0.905,-1.7928,1471,0.56,MotionFiLM,6
42,block5_slice06_phase07,0.4923,0.8775,0.3852,0.8295,0.9755,0.146,0.1605,0.9535,0.793,0.8931,0.9817,0.0886,0.8231,0.9888,0.1657,0.6849,0.9629,0.2779,0.4492,0.6333,0.1841,1.684,0.85,0.463,0.887,0.9665,0.0795,0.968,0.951,0.935,-0.6007,442,0.17,MotionFiLM,7
43,block5_slice06_phase08,0.7224,0.9008,0.1784,0.9149,0.9901,0.0751,0.7761,0.9907,0.2146,0.9716,0.998,0.0264,0.9364,0.9971,0.0607,0.8316,0.9838,0.1521,0.6136,0.656,0.0424,1.719,0.892,0.488,0.9355,0.9736,0.0381,0.949,0.949,0.949,-0.0018,2,0.0,MotionFiLM,8
44,block5_slice06_phase09,0.8421,0.9076,0.0655,0.9811,0.9939,0.0128,0.8551,0.9891,0.134,0.9738,0.9948,0.0209,0.9922,0.999,0.0068,0.9708,0.9937,0.023,0.6171,0.684,0.0669,1.743,0.938,0.52,0.98,0.9921,0.0121,0.986,0.985,0.984,0.4035,0,0.0,MotionFiLM,9
45,block5_slice07_phase01,0.742,0.8936,0.1516,0.9357,0.9905,0.0547,0.4733,0.9806,0.5073,0.9123,0.9864,0.0741,0.9654,0.9981,0.0328,0.892,0.9899,0.098,0.6394,0.9066,0.2672,0.959,0.888,0.829,0.955,0.9765,0.0215,0.954,0.954,0.954,0.0454,0,0.0,MotionFiLM,1
46,block5_slice07_phase02,0.5087,0.8761,0.3674,0.8339,0.9796,0.1457,0.1748,0.9737,0.7989,0.9119,0.9925,0.0806,0.8246,0.9912,0.1666,0.6783,0.9693,0.291,0.5037,0.8556,0.3519,0.959,0.838,0.748,0.8908,0.9741,0.0833,0.983,0.966,0.95,-1.0328,908,0.35,MotionFiLM,2
47,block5_slice07_phase03,0.3456,0.8262,0.4807,0.7879,0.9472,0.1593,-0.1169,0.9374,1.0542,0.9026,0.9894,0.0868,0.7028,0.953,0.2502,0.6091,0.8961,0.287,0.2881,0.7589,0.4708,0.957,0.743,0.612,0.8292,0.9434,0.1142,1.012,0.949,0.893,-2.3756,2284,0.87,MotionFiLM,3
48,block5_slice07_phase04,0.3015,0.7592,0.4576,0.7742,0.9117,0.1375,-0.2622,0.6885,0.9507,0.8722,0.9507,0.0785,0.672,0.9256,0.2536,0.5874,0.8329,0.2455,0.243,0.6786,0.4356,0.953,0.663,0.514,0.8097,0.9315,0.1219,1.008,0.935,0.872,-2.9526,2660,1.01,MotionFiLM,4
49,block5_slice07_phase05,0.3191,0.7963,0.4773,0.7808,0.9297,0.1489,-0.18,0.9163,1.0963,0.8938,0.9855,0.0917,0.6858,0.9367,0.2509,0.6002,0.8603,0.26,0.2589,0.7393,0.4804,0.934,0.715,0.586,0.8174,0.9348,0.1174,1.007,0.938,0.878,-2.6957,2534,0.97,MotionFiLM,5
50,block5_slice07_phase06,0.3829,0.8471,0.4641,0.7978,0.9607,0.1629,-0.0941,0.9448,1.039,0.8979,0.9889,0.0909,0.7303,0.9671,0.2368,0.6214,0.9245,0.3031,0.3248,0.7784,0.4536,0.973,0.768,0.637,0.8473,0.9558,0.1085,1.028,0.969,0.915,-1.7935,1841,0.7,MotionFiLM,6
51,block5_slice07_phase07,0.4935,0.874,0.3805,0.8317,0.9773,0.1456,0.0092,0.9475,0.9383,0.8829,0.9819,0.099,0.8261,0.991,0.1648,0.6811,0.9685,0.2875,0.441,0.8439,0.4029,0.935,0.816,0.73,0.8891,0.9675,0.0784,0.958,0.947,0.937,-1.0057,938,0.36,MotionFiLM,7
