Method,NCC_After,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
Baseline,0.8338418300653595,0.9660222222222222,0.9106222222222222,0.9741261437908497,0.9817856209150326,0.9282522875816994,0.7184104575163398,0.9221124183006536,0.5968627450980393,1565.2549019607843,-0.9176797385620915
MotionFiLM,0.8317738562091503,0.9628313725490196,0.8824084967320261,0.9656581699346405,0.9788405228758169,0.9190712418300653,0.704902614379085,0.9174352941176471,0.4137254901960784,1085.3725490196077,-0.9407627450980393
MultiPhase,0.8348830065359477,0.9669633986928104,0.9032464052287581,0.9738986928104575,0.9807797385620916,0.9284339869281045,0.7179169934640524,0.919567320261438,0.503202614379085,1319.1764705882354,-0.8483287581699346
